,level,type,code,name,city_code,city_name,dist_code,dist_name,region_code,region_name
202,4,settlement,0100700001900,Новорусов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
203,4,settlement,0100700002000,Орехов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
204,4,settlement,0100700002100,Пентюхов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
205,4,settlement,0100700002200,Пикалин,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
206,4,settlement,0100700002300,Пшизов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
207,4,settlement,0100700002400,Пшичо,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
208,4,settlement,0100700002500,Свободный Труд,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
209,4,settlement,0100700002600,Семено-Макаренский,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
210,4,settlement,0100700002700,Тихонов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
211,4,settlement,0100700002800,Ульский,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
212,4,settlement,0100700002900,Хапачев,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
213,4,settlement,0100700003000,Хатажукай,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
214,4,settlement,0100700003100,Чернышев,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
215,4,settlement,0100700003200,Чикалов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
216,2,district,0100800000000,Гиагинский,,,0100800000000,Гиагинский,0100000000000,['0100000000000' 'Республика Адыгея']
217,4,settlement,0100800000100,Гиагинская,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
218,4,settlement,0100800000200,Владимировское,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
219,4,settlement,0100800000300,Вольно-Веселый,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
220,4,settlement,0100800000400,Георгиевское,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
221,4,settlement,0100800000500,Гончарка,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
222,4,settlement,0100800000600,Днепровский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
223,4,settlement,0100800000700,Дондуковская,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
224,4,settlement,0100800000800,Екатериновский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
225,4,settlement,0100800000900,Карцев,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
226,4,settlement,0100800001000,Келермесская,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
227,4,settlement,0100800001100,Козополянский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
228,4,settlement,0100800001200,Колхозный,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
229,4,settlement,0100800001300,Красный Пахарь,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
230,4,settlement,0100800001400,Красный Хлебороб,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
231,4,settlement,0100800001500,Курский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
232,4,settlement,0100800001600,Лесной,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
233,4,settlement,0100800001700,Михельсоновский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
234,4,settlement,0100800001800,Нечаевский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
235,4,settlement,0100800001900,Нижний Айрюм,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
236,4,settlement,0100800002000,Новый,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
237,4,settlement,0100800002100,Образцовое,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
238,4,settlement,0100800002200,Первомайский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
239,4,settlement,0100800002300,Прогресс,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
240,4,settlement,0100800002400,Сергиевское,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
241,4,settlement,0100800002500,Садовый,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
242,4,settlement,0100800002600,Смольчев-Малиновский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
243,4,settlement,0100800002700,Тамбовский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
244,4,settlement,0100800002900,Фарсовский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
245,4,settlement,0100800003000,Черемушкин,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
246,4,settlement,0100800003100,Шишкинский,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
247,4,settlement,0100800004000,Огородные участки ц.водозабора,,,0100800000000,Гиагинский,0100000000000,Республика Адыгея
248,1,region,0200000000000,Республика Башкортостан,,,,,0200000000000,Республика Башкортостан
249,3,city,0200000100000,Уфа,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
250,4,settlement,0200000100100,Участка Нагаевского лесничества,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
251,4,settlement,0200000100500,Никольский,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
252,4,settlement,0200000100700,1623 км,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
253,4,settlement,0200000100900,Королево,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
254,4,settlement,0200000101500,Жилино,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
255,4,settlement,0200000102100,Ветошниково,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
256,4,settlement,0200000102700,станции Уршак,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
257,4,settlement,0200000102800,Аркаул,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
258,4,settlement,0200000103400,Карпово,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
259,4,settlement,0200000103600,Самохваловка,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
260,4,settlement,0200000104200,Ивановский,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
261,4,settlement,0200000105000,Зинино,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
262,4,settlement,0200000105500,Новые Черкассы,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
263,4,settlement,0200000105800,Вотикеево,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
264,4,settlement,0200000106000,Федоровка,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
265,4,settlement,0200000106200,Нагаево,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
266,4,settlement,0200000106900,Локотки,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
267,4,settlement,0200000107800,Камышлинского мелькомбината,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
268,4,settlement,0200000108500,Поляна,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
269,4,settlement,0200000108800,Князево,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
270,4,settlement,0200000109000,Старые Турбаслы,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
271,4,settlement,0200000109200,Мокроусово,0200000100000,Уфа,,,0200000000000,Республика Башкортостан
